raceId,year,round,circuitId,driverId,constructorId,pit_stop_time,positionOrder,grid,points,laps,statusId
903,2014,4,17,821,15,22734.0,16,17,0.0,53,11
903,2014,4,17,821,15,22988.0,16,17,0.0,53,11
903,2014,4,17,821,15,23252.0,16,17,0.0,53,11
903,2014,4,17,822,3,23639.0,7,7,6.0,54,1
903,2014,4,17,822,3,24780.0,7,7,6.0,54,1
903,2014,4,17,824,206,24320.0,17,19,0.0,53,11
903,2014,4,17,824,206,24784.0,17,19,0.0,53,11
903,2014,4,17,825,1,22579.0,13,15,0.0,53,11
903,2014,4,17,825,1,23670.0,13,15,0.0,53,11
903,2014,4,17,826,5,23521.0,10,13,1.0,53,11
903,2014,4,17,826,5,23628.0,10,13,1.0,53,11
903,2014,4,17,828,207,23677.0,20,20,0.0,52,12
903,2014,4,17,828,207,23730.0,20,20,0.0,52,12
903,2014,4,17,828,207,23969.0,20,20,0.0,52,12
904,2014,5,4,1,131,22951.0,1,1,25.0,66,1
904,2014,5,4,1,131,23590.0,1,1,25.0,66,1
904,2014,5,4,3,131,22254.0,2,2,18.0,66,1
904,2014,5,4,3,131,22309.0,2,2,18.0,66,1
904,2014,5,4,4,6,21664.0,6,7,8.0,66,1
904,2014,5,4,4,6,21970.0,6,7,8.0,66,1
904,2014,5,4,4,6,22014.0,6,7,8.0,66,1
904,2014,5,4,8,6,22056.0,7,6,6.0,65,11
904,2014,5,4,8,6,22727.0,7,6,6.0,65,11
904,2014,5,4,13,3,22304.0,13,9,0.0,65,11
904,2014,5,4,13,3,22381.0,13,9,0.0,65,11
904,2014,5,4,13,3,22890.0,13,9,0.0,65,11
904,2014,5,4,16,15,23378.0,17,16,0.0,65,11
904,2014,5,4,16,15,28013.0,17,16,0.0,65,11
904,2014,5,4,18,1,21810.0,11,8,0.0,65,11
904,2014,5,4,18,1,24408.0,11,8,0.0,65,11
904,2014,5,4,20,9,21599.0,4,15,12.0,66,1
904,2014,5,4,20,9,21608.0,4,15,12.0,66,1
904,2014,5,4,20,9,21974.0,4,15,12.0,66,1
904,2014,5,4,154,208,22078.0,8,5,4.0,65,11
904,2014,5,4,154,208,22126.0,8,5,4.0,65,11
904,2014,5,4,155,207,22789.0,21,20,0.0,34,23
904,2014,5,4,807,10,22355.0,10,10,1.0,65,11
904,2014,5,4,807,10,22724.0,10,10,1.0,65,11
904,2014,5,4,813,208,22024.0,15,22,0.0,65,11
904,2014,5,4,813,208,27851.0,15,22,0.0,65,11
904,2014,5,4,815,10,22282.0,9,11,2.0,65,11
904,2014,5,4,815,10,22367.0,9,11,2.0,65,11
904,2014,5,4,817,9,21830.0,3,3,15.0,66,1
904,2014,5,4,817,9,21969.0,3,3,15.0,66,1
904,2014,5,4,818,5,22976.0,22,21,0.0,24,43
904,2014,5,4,820,206,23232.0,19,17,0.0,64,12
904,2014,5,4,820,206,23586.0,19,17,0.0,64,12
904,2014,5,4,820,206,24337.0,19,17,0.0,64,12
904,2014,5,4,821,15,23025.0,16,13,0.0,65,11
904,2014,5,4,821,15,23063.0,16,13,0.0,65,11
904,2014,5,4,821,15,24780.0,16,13,0.0,65,11
904,2014,5,4,822,3,22701.0,5,4,10.0,66,1
904,2014,5,4,822,3,22824.0,5,4,10.0,66,1
904,2014,5,4,824,206,22568.0,18,18,0.0,64,12
904,2014,5,4,824,206,22928.0,18,18,0.0,64,12
904,2014,5,4,825,1,21768.0,12,14,0.0,65,11
904,2014,5,4,825,1,21894.0,12,14,0.0,65,11
904,2014,5,4,826,5,22703.0,14,12,0.0,65,11
904,2014,5,4,826,5,22841.0,14,12,0.0,65,11
904,2014,5,4,826,5,22984.0,14,12,0.0,65,11
904,2014,5,4,828,207,23091.0,20,19,0.0,64,12
904,2014,5,4,828,207,26671.0,20,19,0.0,64,12
905,2014,6,6,1,131,27509.0,2,2,18.0,78,1
905,2014,6,6,3,131,24672.0,1,1,25.0,78,1
905,2014,6,6,4,6,26499.0,4,5,12.0,78,1
905,2014,6,6,8,6,25282.0,12,6,0.0,77,11
905,2014,6,6,8,6,25684.0,12,6,0.0,77,11
905,2014,6,6,8,6,31896.0,12,6,0.0,77,11
905,2014,6,6,13,3,24264.0,7,16,6.0,77,11
905,2014,6,6,16,15,33207.0,18,18,0.0,23,3
905,2014,6,6,18,1,25992.0,6,12,8.0,77,11
905,2014,6,6,20,9,66065.0,20,4,0.0,5,101
905,2014,6,6,154,208,25029.0,8,14,4.0,77,11
905,2014,6,6,154,208,26312.0,8,14,4.0,77,11
905,2014,6,6,155,207,25116.0,13,20,0.0,75,12
905,2014,6,6,155,207,25421.0,13,20,0.0,75,12
905,2014,6,6,807,10,25714.0,5,11,10.0,77,11
905,2014,6,6,817,9,26584.0,3,3,15.0,78,1
905,2014,6,6,818,5,19385.0,17,7,0.0,50,5
905,2014,6,6,818,5,25444.0,17,7,0.0,50,5
905,2014,6,6,820,206,26137.0,14,19,0.0,75,13
905,2014,6,6,820,206,33074.0,14,19,0.0,75,13
905,2014,6,6,820,206,37352.0,14,19,0.0,75,13
905,2014,6,6,821,15,25906.0,15,17,0.0,59,3
905,2014,6,6,822,3,25595.0,16,13,0.0,55,5
905,2014,6,6,824,206,32658.0,9,21,2.0,77,11
905,2014,6,6,825,1,28943.0,10,8,1.0,77,11
905,2014,6,6,828,207,25585.0,11,22,0.0,77,11
905,2014,6,6,828,207,28091.0,11,22,0.0,77,11
906,2014,7,7,1,131,23554.0,17,2,0.0,46,23
906,2014,7,7,1,131,24417.0,17,2,0.0,46,23
906,2014,7,7,3,131,23882.0,2,1,18.0,70,1
906,2014,7,7,3,131,25102.0,2,1,18.0,70,1
906,2014,7,7,4,6,23790.0,6,7,8.0,70,1
906,2014,7,7,4,6,23932.0,6,7,8.0,70,1
906,2014,7,7,8,6,23925.0,10,10,1.0,70,1
906,2014,7,7,8,6,24221.0,10,10,1.0,70,1
906,2014,7,7,13,3,24012.0,12,5,0.0,69,4
906,2014,7,7,13,3,27949.0,12,5,0.0,69,4
906,2014,7,7,16,15,23703.0,13,16,0.0,69,11
906,2014,7,7,16,15,24068.0,13,16,0.0,69,11
906,2014,7,7,18,1,23493.0,4,9,12.0,70,1
906,2014,7,7,18,1,25050.0,4,9,12.0,70,1
